id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total
0,A Jesus Garcia,ESP,male,10/17/1969,1.72,64,athletics,0,0,0,0
1,A Lam Shin,KOR,female,9/23/1986,1.68,56,fencing,0,0,0,0
2,Aaron Brown,CAN,male,5/27/1992,1.98,79,athletics,0,0,1,1
3,Aaron Cook,MDA,male,1/2/1991,1.83,80,taekwondo,0,0,0,0
4,Aaron Gate,NZL,male,11/26/1990,1.81,71,cycling,0,0,0,0
5,Aaron Royle,AUS,male,1/26/1990,1.8,67,triathlon,0,0,0,0
6,Aaron Russell,USA,male,6/4/1993,2.05,98,volleyball,0,0,1,1
7,Aaron Younger,AUS,male,9/25/1991,1.93,100,aquatics,0,0,0,0
8,Aauri Lorena Bokesa,ESP,female,12/14/1988,1.8,62,athletics,0,0,0,0
9,Ababel Yeshaneh,ETH,female,7/22/1991,1.65,54,athletics,0,0,0,0
10,Abadi Hadis,ETH,male,11/6/1997,1.7,63,athletics,0,0,0,0
11,Abbas Abubakar Abbas,BRN,male,5/17/1996,1.75,66,athletics,0,0,0,0
12,Abbas Qali,IOA,male,10/11/1992,1.68,57.5,aquatics,0,0,0,0
13,Abbey D'Agostino,USA,female,5/25/1992,1.61,49,athletics,0,0,0,0
14,Abbey Weitzeil,USA,female,12/3/1996,1.78,68,aquatics,1,1,0,2
15,Abbie Brown,GBR,female,4/10/1996,1.76,71,rugby sevens,0,0,0,0
16,Abbos Rakhmonov,UZB,male,7/7/1998,1.61,57,wrestling,0,0,0,0
17,Abbubaker Mobara,RSA,male,2/18/1994,1.75,64,football,0,0,0,0
18,Abby Erceg,NZL,female,11/20/1989,1.75,68,football,0,0,0,0
19,Abd Elhalim Mohamed Abou,EGY,male,6/3/1989,2.1,88,volleyball,0,0,0,0
20,Abdalaati Iguider,MAR,male,3/25/1987,1.73,57,athletics,0,0,0,0
21,Abdalelah Haroun,QAT,male,1/1/1997,1.85,80,athletics,0,0,0,0
22,Abdalla Targan,SUD,male,9/28/1996,1.77,65,athletics,0,0,0,0
23,Abdel Aziz Mehelba,EGY,male,12/10/1988,1.76,80,shooting,0,0,0,0
24,Abdelati El Guesse,MAR,male,2/27/1993,1.9,72,athletics,0,0,0,0
25,Abdelaziz Merzougui,ESP,male,8/30/1991,1.75,67,athletics,0,0,0,0
26,Abdelaziz Mohamed Ahmed,SUD,male,10/12/1994,1.81,72,aquatics,0,0,0,0
27,Abdelghani Demmou,ALG,male,1/29/1989,1.85,75,football,0,0,0,0
28,Abdelhafid Benchabla,ALG,male,9/26/1986,1.86,72.5,boxing,0,0,0,0
29,Abdelhakim Amokrane,ALG,male,5/10/1994,1.86,70,football,0,0,0,0
30,Abdelkader Chadi,ALG,male,,1.78,74.5,boxing,0,0,0,0
31,Abdelkadir Salhi,ALG,male,3/19/1993,1.85,79,football,0,0,0,0
32,Abdelkebir Ouaddar,MAR,male,7/15/1962,1.74,67,equestrian,0,0,0,0
33,Abdelkhalek Elbanna,EGY,male,7/4/1988,1.93,95,rowing,0,0,0,0
34,Abdellatif Mohamed Ahmed Mohamed,EGY,male,12/8/1995,1.76,120,wrestling,0,0,0,0
35,Abdelmajid El Hissouf,MAR,male,,1.7,56,athletics,0,0,0,0
36,Abdelmalik Lahoulou,ALG,male,5/7/1992,1.77,72,athletics,0,0,0,0
37,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,10/9/1987,1.85,68.5,boxing,0,0,0,0
38,Abdelraouf Benguit,ALG,male,4/5/1996,1.7,65,football,0,0,0,0
39,Abderrahmane Benamadi,ALG,male,7/3/1985,1.83,90,judo,0,0,0,0
40,Abderrahmane Mansouri,ALG,male,1/13/1995,1.72,66,cycling,0,0,0,0
41,Abderrahmane Meziane,ALG,male,3/7/1994,1.68,62,football,0,0,0,0
42,Abdi Hakin Ulad,DEN,male,6/14/1991,1.75,57,athletics,0,0,0,0
43,Abdi Nageeye,NED,male,3/2/1989,1.65,54,athletics,0,0,0,0
44,Abdi Waiss Mouhyadin,DJI,male,7/3/1996,1.6,60,athletics,0,0,0,0
45,Abdoul Khadre Mbaye Niane,SEN,male,8/20/1988,1.9,90,aquatics,0,0,0,0
46,Abdoulkarim Fawziya,CMR,female,3/1/1989,1.8,67,volleyball,0,0,0,0
47,Abdoullah Bamoussa,ITA,male,6/8/1986,1.935,82.5,athletics,0,0,0,0
48,Abdoulrazak Issoufou Alfaga,NIG,male,12/26/1994,2.07,98,taekwondo,0,1,0,1
49,Abdul Khalili,SWE,male,6/7/1992,1.81,71,football,0,0,0,0
50,Abdul Omar,GHA,male,10/3/1993,1.78,69.5,boxing,0,0,0,0
51,Abdul Wahab Zahiri,AFG,male,5/27/1992,1.75,68,athletics,0,0,0,0
52,Abdulaziz Alshatti,IOA,male,10/30/1990,1.815,69.66666667,fencing,0,0,0,0
53,Abdulkadir Abdullayev,AZE,male,7/17/1988,1.88,71.33333333,boxing,0,0,0,0
54,Abdullah Abkar Mohammed,KSA,male,1/1/1997,1.72,73,athletics,0,0,0,0
55,Abdullah Alrashidi,IOA,male,8/21/1963,1.83,84,shooting,0,0,1,1
56,Abdullah Hel Baki,BAN,male,8/1/1989,1.765,100,shooting,0,0,0,0
57,Abdullahi Shehu,NGR,male,3/12/1993,1.7,116,football,0,0,1,1
58,Abdullo Tangriev,UZB,male,3/28/1981,1.9,132,judo,0,0,0,0
59,Abdulrahman Al Faihan,IOA,male,6/24/1986,1.835,109,shooting,0,0,0,0
60,Abdulrashid Sadulaev,RUS,male,5/9/1996,1.77,86,wrestling,1,0,0,1
61,Abdulrazzaq Murad,QAT,male,6/29/1990,1.86,77,handball,0,0,0,0
62,Abeku Gyekye Jackson,GHA,male,4/12/2000,1.805,73.5,aquatics,0,0,0,0
63,Abhinav Bindra,IND,male,9/28/1982,1.75,70,shooting,0,0,0,0
64,Abigail Johnston,USA,female,11/16/1989,1.66,61,aquatics,0,0,0,0
65,Abigel Joo,HUN,female,8/6/1990,1.83,76,judo,0,0,0,0
66,Ablaikhan Zhussupov,KAZ,male,1/10/1997,1.75,70.5,boxing,0,0,0,0
67,Abraham Kipchirchir Rotich,BRN,male,9/26/1993,1.83,65,athletics,0,0,0,0
68,Abraham Naibei Cheroben,BRN,male,10/11/1992,1.76,60,athletics,0,0,0,0
69,Abraham Niyonkuru,BDI,male,12/26/1989,1.62,52,athletics,0,0,0,0
70,Abrar Osman,ERI,male,1/1/1994,1.68,58,athletics,0,0,0,0
71,Abubaker Haydar Abdalla,QAT,male,8/28/1996,1.8,60,athletics,0,0,0,0
72,Achraf Kharroubi,MAR,male,9/25/1990,1.6,65.5,boxing,0,0,0,0
73,Adam Batirov,BRN,male,1/13/1985,1.65,71,wrestling,0,0,0,0
74,Adam Cwalina,POL,male,1/26/1985,1.87,81,badminton,0,0,0,0
75,Adam Decker,HUN,male,2/29/1984,2.03,115,aquatics,0,0,0,0
76,Adam Dixon,GBR,male,9/11/1986,1.69,70,hockey,0,0,0,0
77,Adam Froese,CAN,male,8/13/1991,1.82,81,hockey,0,0,0,0
78,Adam Gemili,GBR,male,10/6/1993,1.78,75,athletics,0,0,0,0
79,Adam Imer,BRA,male,8/18/1989,1.82,88,hockey,0,0,0,0
80,Adam Kszczot,POL,male,9/2/1989,1.78,68,athletics,0,0,0,0
81,Adam Lundqvist,SWE,male,3/20/1994,1.74,70,football,0,0,0,0
82,Adam Marosi,HUN,male,7/26/1984,1.81,75,modern pentathlon,0,0,0,0
83,Adam Okruashvili,GEO,male,1/1/1989,1.89,130,judo,0,0,0,0
84,Adam Pattantyus,HUN,male,10/10/1978,1.75,71,table tennis,0,0,0,0
85,Adam Peaty,GBR,male,12/28/1994,1.93,88,aquatics,1,1,0,2
86,Adam Sebastian Helcelet,CZE,male,10/27/1991,1.9,92,athletics,0,0,0,0
87,Adam Telegdy,HUN,male,11/1/1995,1.94,77,aquatics,0,0,0,0
88,Adam Vella,AUS,male,6/12/1971,1.78,92,shooting,0,0,0,0
89,Adam Viktora,SEY,male,9/6/1996,1.88,94,aquatics,0,0,0,0
90,Adam Wisniewski,POL,male,10/24/1980,1.93,93,handball,0,0,0,0
91,Adam Yates,GBR,male,8/7/1992,1.72,58,cycling,0,0,0,0
92,Adam van Koeverden,CAN,male,1/29/1982,1.82,85,canoe,0,0,0,0
93,Adama Diatta,SEN,male,8/14/1988,1.65,57,wrestling,0,0,0,0
94,Adama Jammeh,GAM,male,6/10/1993,1.795,73.5,athletics,0,0,0,0
95,Adas Juskevicius,LTU,male,1/3/1989,1.94,90,basketball,0,0,0,0
96,Adel Gholami,IRI,male,2/9/1986,1.95,88,volleyball,0,0,0,0
97,Adel Mechaal,ESP,male,12/5/1990,1.82,71,athletics,0,0,0,0
98,Adel Mojallalimoghadam,IRI,male,3/21/1993,1.85,82,canoe,0,0,0,0
99,Adela Bruns,CZE,female,2/5/1987,1.71,60,shooting,0,0,0,0
100,Adela Hanzlickova,CZE,female,5/4/1994,1.71,67,wrestling,0,0,0,0
101,Adelina Bogus,ROU,female,9/4/1988,1.86,75,rowing,0,0,1,1
102,Adelina Pastor,ROU,female,5/5/1993,1.68,56,athletics,0,0,0,0
103,Adelinde Cornelissen,NED,female,7/7/1979,1.68,55,equestrian,0,0,0,0
104,Adeline Maria Gray,USA,female,1/15/1991,1.73,77,wrestling,0,0,0,0
105,Adem Boudjemline,ALG,male,2/28/1994,1.8,85,wrestling,0,0,0,0
106,Adenizia da Silva,BRA,female,12/18/1986,1.87,65,volleyball,0,0,0,0
107,Adham Ahmed Saleh Kahk,EGY,male,6/27/1993,1.6,66,wrestling,0,0,0,0
108,Adilbek Niyazymbetov,KAZ,male,5/19/1989,1.8,72.5,boxing,0,1,0,1
109,Adilson da Silva,BRA,male,1/24/1972,1.7,79,golf,0,0,0,0
110,Aditi Ashok,IND,female,3/29/1998,1.73,57,golf,0,0,0,0
111,Adlan Abdurashidov,RUS,male,7/31/1990,1.72,67.5,boxing,0,0,0,0
112,Adnan Maric,SWE,male,2/17/1997,1.83,78,football,0,0,0,0
113,Adrian Andres Puentes Perez,CUB,male,7/3/1988,1.71,76,archery,0,0,0,0
114,Adrian Baches,BRA,male,4/7/1990,1.84,83,aquatics,0,0,0,0
115,Adrian Blocki,POL,male,4/11/1990,1.74,62,athletics,0,0,0,0
116,Adrian Chacon,CUB,male,12/10/1988,1.87,90,athletics,0,0,0,0
117,Adrian Crisan,ROU,male,5/7/1980,1.86,85,table tennis,0,0,0,0
118,Adrian Dziolko,POL,male,2/22/1990,1.89,85,badminton,0,0,0,0
119,Adrian Eduardo Goide Arredondo,CUB,male,6/26/1998,1.91,80,volleyball,0,0,0,0
120,Adrian Edward Zielinski,POL,male,3/28/1989,1.7,94,weightlifting,0,0,0,0
121,Adrian Gavira Collado,ESP,male,9/17/1987,1.93,89,volleyball,0,0,0,0
122,Adrian Gomboc,SLO,male,1/20/1995,1.7,69,judo,0,0,0,0
123,Adrian Griffith,BAH,male,11/11/1984,1.78,75,athletics,0,0,0,0
124,Adrian Ignacio Carambula Raurich,ITA,male,3/16/1988,1.82,83,volleyball,0,0,0,0
125,Adrian Juhasz,HUN,male,11/18/1989,1.88,89,rowing,0,0,0,0
126,Adrian Oquendo,CUB,male,2/23/1990,1.89,87,rowing,0,0,0,0
127,Adrian Portela,ARG,male,3/8/1986,1.85,95,handball,0,0,0,0
128,Adriana Aparecida da Silva,BRA,female,7/22/1981,1.66,52,athletics,0,0,0,0
129,Adriana Araujo,BRA,female,11/4/1981,1.67,51,boxing,0,0,0,0
130,Adriana Diaz,PUR,female,10/31/2000,1.6,50,table tennis,0,0,0,0
131,Adriana Martin,ESP,female,4/12/1996,1.62,65,archery,0,0,0,0
132,Adriana Moises,BRA,female,12/6/1978,1.7,65,basketball,0,0,0,0
133,Adrien Bart,FRA,male,9/4/1991,1.85,84,canoe,0,0,0,0
134,Adrien Dipanda,FRA,male,5/3/1988,2.02,105,handball,0,1,0,1
135,Adrien Niyonshuti,RWA,male,1/2/1987,1.65,68,cycling,0,0,0,0
136,Adrienne Martelli,USA,female,12/3/1987,1.86,77,rowing,0,0,0,0
137,Adzo Rebecca Kpossi,TOG,female,1/25/1999,1.58,53,aquatics,0,0,0,0
138,Ae-Ri Noort,NED,female,1/10/1983,1.6,49,rowing,0,0,0,0
139,Afa Ismail,MDV,female,11/1/1993,1.615,62,athletics,0,0,0,0
140,Afaf Elhodhod,EGY,female,10/1/1996,1.63,75,shooting,0,0,0,0
141,Afef Ben Ismail,TUN,female,3/17/1994,1.73,60,canoe,0,0,0,0
142,Africa Zamorano Sanz,ESP,female,1/11/1998,1.7,58,aquatics,0,0,0,0
143,Afrodite Zegers,NED,female,12/2/1991,1.61,58,sailing,0,0,0,0
144,Agata Forkasiewicz,POL,female,1/13/1994,1.68,54,athletics,0,0,0,0
145,Agatha Bednarczuk,BRA,female,6/22/1983,1.82,70,volleyball,0,1,0,1
146,Ageze Guadie,ISR,male,9/11/1989,1.75,56,athletics,0,0,0,0
147,Aglaia Pezzato,ITA,female,4/22/1994,1.75,60,aquatics,0,0,0,0
148,Agnes Osazuwa,NGR,female,11/26/1989,1.62,65,athletics,0,0,0,0
149,Agnes Raharolahy,FRA,female,11/7/1992,1.67,58,athletics,0,0,0,0
150,Agnese Pastare,LAT,female,10/27/1988,1.79,68,athletics,0,0,0,0
151,Agnete Kirk Thinggaard,DEN,female,5/18/1983,1.72,62,equestrian,0,0,0,0
152,Agnieszka Dygacz,POL,female,7/18/1985,1.6,47,athletics,0,0,0,0
153,Agnieszka Jadwiga Wieszczek-Kordus,POL,female,3/22/1983,1.75,69,wrestling,0,0,0,0
154,Agnieszka Jerzyk,POL,female,1/15/1988,1.7,59,triathlon,0,0,0,0
155,Agnieszka Kobus,POL,female,8/28/1990,1.77,68,rowing,0,0,1,1
156,Agnieszka Nagay,POL,female,2/20/1981,1.69,61,shooting,0,0,0,0
157,Agnieszka Radwanska,POL,female,3/6/1989,1.73,59,tennis,0,0,0,0
158,Agnieszka Skrzypulec,POL,female,6/3/1989,1.66,53,sailing,0,0,0,0
159,Agnieszka Szwarnog,POL,female,12/28/1986,1.65,51,athletics,0,0,0,0
160,Agustin Mazzilli,ARG,male,6/20/1989,1.73,77,hockey,1,0,0,1
161,Agustin Vidal,ARG,male,7/8/1987,1.94,100,handball,0,0,0,0
162,Agustina Albertarrio,ARG,female,1/1/1993,1.65,55,hockey,0,0,0,0
163,Agustina Habif,ARG,female,3/8/1992,1.65,55,hockey,0,0,0,0
164,Ahmad Abughaush,JOR,male,2/1/1996,1.78,68,taekwondo,1,0,0,1
165,Ahmad Alafasi,IOA,male,1/10/1983,1.7,65,shooting,0,0,0,0
166,Ahmad Amsyar Azman,MAS,male,8/28/1992,1.62,62,aquatics,0,0,0,0
167,Ahmad Hazer,LIB,male,9/4/1989,1.88,80,athletics,0,0,0,0
168,Ahmed Abdelaal,EGY,male,6/8/1989,1.88,89,volleyball,0,0,0,0
169,Ahmed Abdelhay,EGY,male,8/19/1984,1.97,87,volleyball,0,0,0,0
170,Ahmed Abelrahman,EGY,male,5/26/1996,1.65,60,judo,0,0,0,0
171,Ahmed Afifi,EGY,male,3/30/1988,1.94,92,volleyball,0,0,0,0
172,Ahmed Akram,EGY,male,10/20/1996,1.88,80,aquatics,0,0,0,0
173,Ahmed Ali,SUD,male,11/15/1993,1.73,75,athletics,0,0,0,0
174,Ahmed Attellesey,LBA,male,7/30/1995,1.815,82.5,aquatics,0,0,0,0
175,Ahmed Bader Magour,QAT,male,3/3/1996,1.9,90,athletics,0,0,0,0
176,Ahmed Darwish,EGY,male,7/2/1981,1.72,80,shooting,0,0,0,0
177,Ahmed El Kotb,EGY,male,7/23/1991,1.97,80,volleyball,0,0,0,0
178,Ahmed El-Nemr,EGY,male,11/21/1978,1.83,84,archery,0,0,0,0
179,Ahmed Elahmar,EGY,male,1/27/1984,1.81,79,handball,0,0,0,0
180,Ahmed Gebrel,PLE,male,1/22/1991,1.805,76,aquatics,0,0,0,0
181,Ahmed Goumar,NIG,male,2/22/1988,1.8,73,judo,0,0,0,0
182,Ahmed Ibrahim,IRQ,male,2/25/1992,1.84,80,football,0,0,0,0
183,Ahmed Kamar,EGY,male,9/19/1986,1.75,60,shooting,0,0,0,0
184,Ahmed Mathlouthi,TUN,male,12/18/1989,1.9,90,aquatics,0,0,0,0
185,Ahmed Mohamed,EGY,male,4/8/1996,1.7,73,shooting,0,0,0,0
186,Ahmed Mohamed,EGY,male,4/27/1988,1.85,144,weightlifting,0,0,0,0
187,Ahmed Mohamed Ibrahim Saad,EGY,male,2/25/1989,1.65,85,wrestling,0,0,0,0
188,Ahmed Ragab,EGY,male,9/29/1991,1.74,81,sailing,0,0,0,0
189,Ahmed Saad,EGY,male,11/1/1986,1.6,62,weightlifting,0,0,0,0
190,Ahmed Shaban,EGY,male,3/8/1979,1.9,95,shooting,0,0,0,0
191,Ahmet Li,TUR,male,1/12/1991,1.73,67,table tennis,0,0,0,0
192,Ahmet Orken,TUR,male,3/12/1993,1.77,69,cycling,0,0,0,0
193,Ahreum Na,KOR,female,3/24/1990,1.63,55,cycling,0,0,0,0
194,Ahymara Espinoza,VEN,female,5/28/1985,1.8,99,athletics,0,0,0,0
195,Ai Fukuhara,JPN,female,11/1/1988,1.56,48,table tennis,0,0,1,1
196,Ai Kondo Yoshida,JPN,female,11/5/1980,1.61,58,sailing,0,0,0,0
197,Ai Ueda,JPN,female,10/26/1983,1.55,44,triathlon,0,0,0,0
198,Ai Wen Yu,TPE,female,12/27/1995,1.57,52,shooting,0,0,0,0
199,Aiaal Lazarev,KGZ,male,3/19/1986,1.95,125,wrestling,0,0,0,0
200,Aichen Wang,CHN,male,3/28/1985,1.85,75,sailing,0,0,0,0
201,Aida Fall,SEN,female,11/10/1986,1.93,95,basketball,0,0,0,0
202,Aida Mohamed,HUN,female,3/12/1976,1.62,58,fencing,0,0,0,0
203,Aida Roman,MEX,female,5/21/1988,1.69,64,archery,0,0,0,0
204,Aida Shanaeva,RUS,female,4/23/1986,1.73,63,fencing,0,0,0,0
205,Aidan Roach,AUS,male,9/7/1990,1.87,88,aquatics,0,0,0,0
206,Aika Hakoyama,JPN,female,7/27/1991,1.76,62,aquatics,0,0,1,1
207,Aikaterini Nikolaidou,GRE,female,10/22/1992,1.8,70,rowing,0,0,0,0
208,Aikaterini-Maria Kontochristopoulou,GRE,female,6/10/1997,1.68,58,fencing,0,0,0,0
209,Aiko Hayashi,JPN,female,11/17/1993,1.66,56,aquatics,0,0,1,1
210,Aiko Sugihara,JPN,female,9/19/1999,1.46,35,gymnastics,0,0,0,0
211,Aileen Reid,IRL,female,6/15/1982,1.69,53,triathlon,0,0,0,0
212,Ailen Valente,ARG,female,3/26/1996,1.67,58,gymnastics,0,0,0,0
213,Ailly Luciano,NED,female,3/25/1991,1.71,69,handball,0,0,0,0
214,Ailun Guo,CHN,male,11/14/1993,1.92,85,basketball,0,0,0,0
215,Aimee Fisher,NZL,female,1/24/1995,1.83,99,canoe,0,0,0,0
216,Aimee Willmott,GBR,female,2/26/1993,1.71,66,aquatics,0,0,0,0
217,Aina Cid I Centelles,ESP,female,9/1/1994,1.7,60,rowing,0,0,0,0
218,Ainhoa Hernandez,ESP,female,4/27/1994,1.8,88,handball,0,0,0,0
219,Ainhoa Murua,ESP,female,7/18/1978,1.6,48,triathlon,0,0,0,0
220,Ainur Yesbergenova,KAZ,female,2/11/1998,1.64,49,taekwondo,0,0,0,0
221,Airi Hatakeyama,JPN,female,8/16/1994,1.71,46,gymnastics,0,0,0,0
222,Airine Palsyte,LTU,female,7/13/1992,1.87,63,athletics,0,0,0,0
223,Aisen Chen,CHN,male,10/22/1995,1.68,60,aquatics,2,0,0,2
224,Aisha Praught,JAM,female,12/14/1989,1.62,50,athletics,0,0,0,0
225,Aislin Jones,AUS,female,2/8/2000,1.57,51,shooting,0,0,0,0
226,Aisuluu Tynybekova,KGZ,female,5/4/1993,1.7,58,wrestling,0,0,0,0
227,Aitor Martinez Rodriguez,ESP,male,8/22/1993,1.83,78,aquatics,0,0,0,0
228,Aivi Luik,AUS,female,3/18/1985,1.63,58,football,0,0,0,0
229,Ajee Wilson,USA,female,5/8/1994,1.73,61,athletics,0,0,0,0
230,Ajla del Ponte,SUI,female,7/15/1996,1.68,56,athletics,0,0,0,0
231,Ajna Kesely,HUN,female,9/10/2001,1.65,54,aquatics,0,0,0,0
232,Akalani Baravilala,USA,female,7/12/1991,1.68,74,rugby sevens,0,0,0,0
233,Akane Kuroki,JPN,female,8/13/1978,1.65,50,equestrian,0,0,0,0
234,Akane Shibata,JPN,female,4/30/1988,1.53,50,hockey,0,0,0,0
235,Akane Yamaguchi,JPN,female,6/6/1997,1.56,55,badminton,0,0,0,0
236,Akani Simbine,RSA,male,9/21/1993,1.76,74,athletics,0,0,0,0
237,Akashdeep Singh,IND,male,12/2/1994,1.78,70,hockey,0,0,0,0
238,Akeem Haynes,CAN,male,3/11/1992,1.68,71,athletics,0,0,1,1
239,Akela Jones,BAR,female,4/22/1995,1.86,77,athletics,0,0,0,0
240,Aki Mitsuhashi,JPN,female,9/12/1989,1.66,59,hockey,0,0,0,0
241,Aki Yazawa,JPN,female,11/5/1991,1.56,50,canoe,0,0,0,0
242,Akihiko Nakamura,JPN,male,10/23/1990,1.8,73,athletics,0,0,0,0
243,Akiko Sato,JPN,female,2/9/1984,1.62,58,shooting,0,0,0,0
244,Akira Ioane,NZL,male,6/16/1995,1.94,113,rugby sevens,0,0,0,0
245,Akira Yanase,JPN,male,8/11/1988,1.91,95,aquatics,0,0,0,0
246,Akossiwa Claire Ayivon,TOG,female,8/11/1996,1.866666667,86,rowing,0,0,0,0
247,Akua Obeng-Akrofi,GHA,female,7/10/1996,1.823333333,77,athletics,0,0,0,0
248,Alaa Ali,IRQ,male,6/3/1996,1.78,68,football,0,0,0,0
249,Alaaeldin Abouelkassem,EGY,male,11/25/1990,1.88,87,fencing,0,0,0,0
250,Alade Aminu,NGR,male,9/14/1987,2.1,102,basketball,0,0,0,0
251,Alain Sign,GBR,male,2/3/1986,1.81,84,sailing,0,0,0,0
252,Alan Campbell,GBR,male,5/9/1983,1.91,96,rowing,0,0,0,0
253,Alan Hatherly,RSA,male,3/15/1996,1.78,62,cycling,0,0,0,0
254,Alan Sinclair,GBR,male,10/16/1985,1.92,96,rowing,0,0,0,0
255,Alan Sothern,IRL,male,7/28/1987,1.78,76,hockey,0,0,0,0
256,Alana Barber,NZL,female,7/8/1987,1.63,52,athletics,0,0,0,0
257,Alana Boyd,AUS,female,5/10/1984,1.71,59,athletics,0,0,0,0
258,Alanna Kennedy,AUS,female,1/21/1995,1.76,63,football,0,0,0,0
259,Alastair Brogdon,GBR,male,11/10/1987,1.83,76,hockey,0,0,0,0
260,Alba Torrens,ESP,female,8/30/1989,1.91,68,basketball,0,1,0,1
261,Albachir Mouctar,NIG,male,5/1/1995,1.78,76,aquatics,0,0,0,0
262,Albane Valenzuela,SUI,female,12/17/1997,1.74,58,golf,0,0,0,0
263,Albert Espanol Lifante,ESP,male,10/29/1985,1.89,86,aquatics,0,0,0,0
264,Albert Gaun,RUS,male,6/21/1992,1.85,80,taekwondo,0,0,0,0
265,Albert Hermoso Farras,ESP,male,8/28/1978,1.68,65,equestrian,0,0,0,0
266,Albert Kibichii Rop,BRN,male,7/17/1992,1.77,63,athletics,0,0,0,0
267,Albert Puig Garrich,ESP,male,4/1/1994,1.84,78,aquatics,0,0,0,0
268,Albert Ramon Ramirez,VEN,male,5/7/1992,1.82,79,boxing,0,0,0,0
269,Albert Ramos-Vinolas,ESP,male,1/17/1988,1.88,80,tennis,0,0,0,0
270,Albert Saritov,ROU,male,7/8/1985,1.88,100,wrestling,0,0,1,1
271,Albert Selimov,AZE,male,4/5/1986,1.71,92.5,boxing,0,0,0,0
272,Albert Subirats,VEN,male,9/25/1986,1.9,85,aquatics,0,0,0,0
273,Alberth Bravo,VEN,male,8/29/1987,1.99,88,athletics,0,0,0,0
274,Alberth Elis,HON,male,2/12/1996,1.84,77,football,0,0,0,0
275,Albertina Cruz Kassoma,ANG,female,6/12/1996,1.92,105,handball,0,0,0,0
276,Alberto Alvarez,MEX,male,3/8/1991,1.91,78,athletics,0,0,0,0
277,Alberto Ezequiel Melian,ARG,male,1/2/1990,1.7,96.5,boxing,0,0,0,0
278,Alberto Fernandez,ESP,male,6/16/1983,1.8,115,shooting,0,0,0,0
279,Alberto Ignacio Palmetta,ARG,male,4/5/1990,1.75,110,boxing,0,0,0,0
280,Alberto Munarriz Egana,ESP,male,5/19/1994,1.98,105,aquatics,0,0,0,0
281,Alberto Ricchetti,ITA,male,5/26/1985,1.86,88,canoe,0,0,0,0
282,Albin Lagergren,SWE,male,9/11/1992,1.86,94,handball,0,0,0,0
283,Albina Shakirova,RUS,female,3/30/1987,1.65,50,shooting,0,0,0,0
284,Aldemir da Silva Junior,BRA,male,6/8/1992,1.93,80,athletics,0,0,0,0
285,Aldo Montano,ITA,male,11/18/1978,1.84,82,fencing,0,0,0,0
286,Alec Potts,AUS,male,2/9/1996,1.85,77,archery,0,0,1,1
287,Aleixo-Platini Menga,GER,male,9/29/1987,1.82,82,athletics,0,0,0,0
288,Alejandra Betancur,COL,female,6/13/1987,1.6,82,rugby sevens,0,0,0,0
289,Alejandra Garza Garza,MEX,female,8/1/1991,1.65,75,weightlifting,0,0,0,0
290,Alejandra Jhonay Benitez Romero,VEN,female,7/7/1980,1.69,62,fencing,0,0,0,0
291,Alejandra Llaneza,MEX,female,5/31/1988,1.58,48,golf,0,0,0,0
292,Alejandra Orozco,MEX,female,4/19/1997,1.57,56,aquatics,0,0,0,0
293,Alejandra Ortega,MEX,female,7/8/1994,1.65,57,athletics,0,0,0,0
294,Alejandra Quereda,ESP,female,7/24/1992,1.75,54,gymnastics,0,1,0,1
295,Alejandra Teran,MEX,female,1/20/1991,1.76,73,fencing,0,0,0,0
296,Alejandra Valencia,MEX,female,10/17/1994,1.75,74,archery,0,0,0,0
297,Alejandra Zavala Vazquez,MEX,female,6/16/1984,1.65,85,shooting,0,0,0,0
298,Alejandro Enrique Valdes Tobier,CUB,male,11/18/1988,1.65,65,wrestling,0,0,0,0
299,Alejandro Foglia Costa,URU,male,1/30/1984,1.9,96,sailing,0,0,0,0
300,Alejandro Valverde Belmonte,ESP,male,4/25/1980,1.77,63,cycling,0,0,0,0
301,Aleksandar Aleksandrov,AZE,male,4/9/1990,1.89,93,rowing,0,0,0,0
302,Aleksandar IVOVIC,MNE,male,2/24/1986,1.97,107,aquatics,0,0,0,0
303,Aleksandar Karakasevic,SRB,male,12/9/1975,1.78,85,table tennis,0,0,0,0
304,Aleksandar Kukolj,SRB,male,9/9/1991,1.94,94,judo,0,0,0,0
305,Aleksandar Nikolov,BUL,male,6/18/1992,1.85,75,aquatics,0,0,0,0
306,Aleksandar RADOVIC,MNE,male,2/24/1987,1.91,98,aquatics,0,0,0,0
307,Aleksandr Krasnykh,RUS,male,6/19/1995,1.88,80,aquatics,0,0,0,0
308,Aleksandr Lipatov,RUS,male,6/10/1981,1.84,77,canoe,0,0,0,0
309,Aleksandr Markov,RUS,male,5/26/1985,1.79,70,equestrian,0,0,0,0
310,Aleksandr Popkov,RUS,male,12/27/1994,1.85,80,aquatics,0,0,0,0
311,Aleksandr Sadovnikov,RUS,male,9/21/1996,1.93,85,aquatics,0,0,0,0
312,Aleksandra Cotti,ITA,female,12/13/1988,1.67,65,aquatics,0,1,0,1
313,Aleksandra Crvendakic,SRB,female,3/17/1996,1.87,76,basketball,0,0,1,1
314,Aleksandra Jarmolinska,POL,female,9/6/1990,1.6,67,shooting,0,0,0,0
