id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total
9082,Robert Heffernan,IRL,male,2/28/1978,1.71,58,athletics,0,0,0,0
9083,Robert Hering,GER,male,6/14/1990,1.8,78,athletics,0,0,0,0
9084,Robert Luecken,NED,male,4/30/1985,1.99,95,rowing,0,0,1,1
9085,Robert Manson,NZL,male,10/11/1989,1.88,89,rowing,0,0,0,0
9086,Robert Mateusiak,POL,male,1/13/1976,1.69,65,badminton,0,0,0,0
9087,Robert Meeuwsen,NED,male,3/21/1988,2.07,94,volleyball,0,0,1,1
9088,Robert Micael Gibson,CAN,male,2/2/1986,1.95,101,rowing,0,0,0,0
9089,Robert Mike,HUN,male,5/8/1984,1.76,80,canoe,0,0,0,0
9090,Robert Munn,USA,male,7/26/1990,1.94,97,rowing,0,0,0,0
9091,Robert Paez,VEN,male,6/1/1994,1.74,72,aquatics,0,0,0,0
9092,Robert Renner,SLO,male,3/8/1994,1.83,75,athletics,0,0,0,0
9093,Robert Scheidt,BRA,male,4/15/1973,1.88,76,sailing,0,0,0,0
9094,Robert Skov,DEN,male,5/20/1996,1.83,78,football,0,0,0,0
9095,Robert Sobera,POL,male,1/19/1991,1.91,86,athletics,0,0,0,0
9096,Robert Timothy David Smith,USA,male,1/30/1987,1.83,127,wrestling,0,0,0,0
9097,Robert Tvorogal,LTU,male,10/5/1994,1.67,65,gymnastics,0,0,0,0
9098,Robert Urbanek,POL,male,4/29/1987,2,122,athletics,0,0,0,0
9099,Robert Zbogar,SLO,male,3/6/1989,1.83,72,aquatics,0,0,0,0
9100,Robert van der Horst,NED,male,10/17/1984,1.79,74,hockey,0,0,0,0
9101,Roberta Bianconi,ITA,female,7/8/1989,1.76,76,aquatics,0,1,0,1
9102,Roberta Vinci,ITA,female,2/18/1983,1.64,54,tennis,0,0,0,0
9103,Robertas Javtokas,LTU,male,3/20/1980,2.1,117,basketball,0,0,0,0
9104,Roberti Kobliashvili,GEO,male,12/6/1993,1.8,85,wrestling,0,0,0,0
9105,Roberto Acuna,ARG,male,9/14/1990,2.08,109,basketball,0,0,0,0
9106,Roberto Bautista Agut,ESP,male,4/14/1988,1.83,76,tennis,0,0,0,0
9107,Roberto Janet,CUB,male,8/29/1986,1.87,106,athletics,0,0,0,0
